ProjectID,ProjectName,Domain,Algorithm,ApplicationArea,TechnologyUsed,LeadResearcher,Institution,Year
A001,MedVision,Healthcare,CNN,Diabetes Detection,AI-Powered Glucose Monitor,Dr. Sharma,CityCare Hospital,2026
A002,CardioPredict,Healthcare,Random Forest,Hypertension Risk Prediction,AI Blood Pressure Tracker,Dr. Rao,Metro Health,2026
A003,AsthmaCare,Healthcare,RNN,Asthma Patient Monitoring,Smart Inhaler with AI,Dr. Iyer,Sunrise Clinic,2026
A004,MigraineAI,Healthcare,NLP,Migraine Symptom Analysis,AI Symptom Diary,Dr. Kapoor,Wellness Center,2026
A005,SurgiAssist,Healthcare,Reinforcement Learning,Heart Surgery Assistance,AI Surgical Robot,Dr. Joshi,CityCare Hospital,2026
A006,ThyroTrack,Healthcare,Decision Tree,Thyroid Disorder Management,AI Hormone Tracker,Dr. Sharma,Wellness Center,2026
A007,MentalHealthAI,Healthcare,NLP,Depression Therapy Support,AI Chatbot Counselor,Dr. Banerjee,Sunrise Clinic,2026
A008,ArthroCare,Healthcare,SVM,Arthritis Pain Prediction,AI Joint Movement Analyzer,Dr. Menon,Metro Health,2026
A009,LipidAI,Healthcare,Gradient Boosting,Cholesterol Risk Analysis,AI Lipid Profile Analyzer,Dr. Rao,CityCare Hospital,2026
A010,HemoAI,Healthcare,Naive Bayes,Anemia Detection,AI Blood Analyzer,Dr. Kapoor,Metro Health,2026
